material,rA,rB,rX,nA,nB,nX,rA_rB_ratio,rA_rX_ratio,rB_rX_ratio,rS_A,rP_A,Z_A,HOMO_A,LUMO_A,EA_A,IP_A,rS_B,rP_B,Z_B,HOMO_B,LUMO_B,EA_B,IP_B,rS_X,rP_X,Z_X,HOMO_X,LUMO_X,EA_X,IP_X,rX_rB_ratio,t_sisso,t,tau,p_t_sisso,exp_label
CrBO3,0.62,0.27,1.4,3,3,-2,2.2963,0.442857,0.192857,1.4246,1.9893,24,-4.388888021,-4.388888172,-1.078476537,7.228118701,0.8025,0.8348,5,-3.606786255,-3.606786378,-0.291745787,8.221042615,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,5.185189026,4.472097715,0.855304968,4.472093875,0.240462344,0
CrLiCl3,0.8,0.76,1.81,2,1,-1,1.05263,0.441989,0.41989,1.4246,1.9893,24,-4.388888021,-4.388888172,-1.078476537,7.228118701,1.6576,2.0134,3,-2.874140786,-1.020757781,-0.756113885,5.297381505,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.381576127,39.42634801,0.718114143,39.42635083,1.61E-57,0
CrMoO3,0.8,0.65,1.4,2,4,-2,1.23077,0.571429,0.464286,1.4246,1.9893,24,-4.388888021,-4.388888172,-1.078476537,7.228118701,1.5449,2.2052,42,-4.274195256,-4.274195403,-1.52911462,6.943164598,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.153844828,10.00869034,0.758848213,10.00869166,1.63E-10,0
CsBaBr3,1.88,1.35,1.96,1,2,-1,1.39259,0.959184,0.688776,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,1.451850819,4.656971056,0.820331384,4.656972088,0.123624296,0
CsBaCl3,1.88,1.35,1.81,1,2,-1,1.39259,1.03867,0.745856,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,1.340741376,4.545861613,0.825705885,4.545860977,0.186414546,0
CsBaF3,1.88,1.35,1.33,1,2,-1,1.39259,1.41353,1.01504,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,2.1967,2.6614,56,-3.229349631,-2.022431442,0.181548696,5.363405816,0.4044,0.374,9,-11.11141622,1.13668157,-4.336301294,19.39159515,0.98518285,4.190303086,0.846947196,4.190305422,0.515118446,0
CsBrO3,1.88,0.31,1.4,1,5,-2,6.06452,1.34286,0.221429,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,4.516120291,6.880708403,1.356325196,6.880717144,2.09E-05,0
CsCoCl3,1.88,0.74,1.81,1,2,-1,2.54054,1.03867,0.40884,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.2878,1.614,27,-4.433222619,0.143554959,-1.359047269,7.672566088,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.445944624,4.170744715,1.023227684,4.170746038,0.535317125,0
CsCrCl3,1.88,0.8,1.81,1,2,-1,2.35,1.03867,0.441989,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.4246,1.9893,24,-4.388888021,-4.388888172,-1.078476537,7.228118701,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.262499745,4.012918567,0.999705209,4.012918822,0.685282881,0
CsFeCl3,1.88,0.78,1.81,1,2,-1,2.41026,1.03867,0.430939,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.3301,1.9365,26,-4.431945549,-0.812293253,-1.303738195,7.470425785,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.32051404,4.060272065,1.00742494,4.060270845,0.643396842,0
CsGeCl3,1.88,0.73,1.81,1,2,-1,2.57534,1.03867,0.403315,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.922,1.1722,32,-3.894931082,-3.894931216,-0.915962684,7.445211101,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.479451545,4.201851323,1.02725614,4.201851832,0.503107821,0
CsGeI3,1.88,0.73,2.2,1,2,-1,2.57534,0.854545,0.331818,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.922,1.1722,32,-3.894931082,-3.894931216,-0.915962684,7.445211101,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,3.013700281,4.736100059,0.98464264,4.736098408,0.091051291,0
CsMgCl3,1.88,0.72,1.81,1,2,-1,2.61111,1.03867,0.39779,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.3518,1.9116,12,-4.705332847,-1.306562749,0.500356867,7.971348956,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.513889238,4.23443193,1.031316441,4.234431581,0.469025856,0
CsMgI3,1.88,0.72,2.2,1,2,-1,2.61111,0.854545,0.327273,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.3518,1.9116,12,-4.705332847,-1.306562749,0.500356867,7.971348956,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,3.055553009,4.776095701,0.988014704,4.776098247,0.077798178,0
CsMnBr3,1.88,0.83,1.96,1,2,-1,2.26506,0.959184,0.423469,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.4083,2.0542,25,-4.4111366,-0.936468672,-1.152247223,7.312724568,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.361447945,4.131820427,0.973224688,4.131818265,0.574757097,0
CsMnF3,1.88,0.83,1.33,1,2,-1,2.26506,1.41353,0.62406,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.4083,2.0542,25,-4.4111366,-0.936468672,-1.152247223,7.312724568,0.4044,0.374,9,-11.11141622,1.13668157,-4.336301294,19.39159515,1.602410025,3.372782506,1.050841891,3.37278212,0.961603026,0
CsMnI3,1.88,0.83,2.2,1,2,-1,2.26506,0.854545,0.377273,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,0.4083,2.0542,25,-4.4111366,-0.936468672,-1.152247223,7.312724568,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,2.650600494,4.420972975,0.952146183,4.420974891,0.28365089,0
CsNbO3,1.88,0.64,1.4,1,5,-2,2.9375,1.34286,0.457143,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.5834,2.0916,41,-4.453727958,-4.453728111,-1.10549939,7.13506764,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.187499316,3.913568449,1.136919649,3.913569133,0.762433918,0
CsNiBr3,1.88,0.69,1.96,1,2,-1,2.72464,0.959184,0.352041,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.2517,1.5674,28,-4.439555219,-4.439555371,-1.351387103,7.89877133,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.840578228,4.558867464,1.024640332,4.558868946,0.177929199,0
CsNiCl3,1.88,0.69,1.81,1,2,-1,2.72464,1.03867,0.381215,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.2517,1.5674,28,-4.439555219,-4.439555371,-1.351387103,7.89877133,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.623191637,4.341480873,1.043692238,4.341477641,0.358721119,0
CsNiI3,1.88,0.69,2.2,1,2,-1,2.72464,0.854545,0.313636,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.2517,1.5674,28,-4.439555219,-4.439555371,-1.351387103,7.89877133,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,3.188409494,4.906698729,0.998270912,4.906695033,0.046202907,0
CsSrI3,1.88,1.18,2.2,1,2,-1,1.59322,0.854545,0.536364,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.9584,2.5493,38,-3.525783048,-1.281188209,0.150586051,5.884929265,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,1.864405516,4.285115393,0.853551164,4.285116657,0.416082368,0
CsTiBr3,1.88,0.86,1.96,1,2,-1,2.18605,0.959184,0.438776,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.5467,2.0603,22,-4.219539298,-4.219539443,-0.313899272,7.119306924,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.279067223,4.074183509,0.962871234,4.074186053,0.630519384,0
CsTiI3,1.88,0.86,2.2,1,2,-1,2.18605,0.854545,0.390909,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.5467,2.0603,22,-4.219539298,-4.219539443,-0.313899272,7.119306924,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,2.55814013,4.353256416,0.942811417,4.353255821,0.347093916,0
CsVCl3,1.88,0.79,1.81,1,2,-1,2.37975,1.03867,0.436464,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.4818,2.0566,23,-4.348428313,-4.348428462,-0.780744828,7.16966336,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.291139705,4.035963829,1.003550229,4.035963365,0.665286919,0
CsVI3,1.88,0.79,2.2,1,2,-1,2.37975,0.854545,0.359091,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.4818,2.0566,23,-4.348428313,-4.348428462,-0.780744828,7.16966336,0.9024,1.0749,53,-7.083940205,0.290870977,-3.434435017,11.13135547,2.784809422,4.529633546,0.964883925,4.529634251,0.197441011,0
CsVO3,1.88,0.54,1.4,1,5,-2,3.48148,1.34286,0.385714,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.4818,2.0566,23,-4.348428313,-4.348428462,-0.780744828,7.16966336,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.592594513,4.383455144,1.195523755,4.383453224,0.318021673,0
CsZnCl3,1.88,0.74,1.81,1,2,-1,2.54054,1.03867,0.40884,2.5357,3.1904,55,-2.08592403,-0.479242956,-0.545296608,3.863576389,1.1068,1.6661,30,-5.977182213,-1.10740279,0.922398154,9.889346303,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.445944624,4.170744715,1.023227684,4.170746038,0.535317125,0
